signal,rebal,scheme,minvol,timing,win,sharpe,ann,vol,maxdd,turnover,sh_h1,sh_h2,n,market
beta_horizon,M,rank,5000000.0,fund63,1095.0,0.7908412388020489,0.14636857417525856,0.1850795924564769,-0.3293058512524245,8.055817428557296,-0.00336937331401865,1.422748005334556,1704,
beta+idvol,W,rank,50000000.0,none,0.75,0.7904769523004248,0.276136669763501,0.3493291853227289,-0.5356659532370355,22.450333915053402,0.30766029659955013,1.347521294889868,2021,
beta+idvol,W,q20,50000000.0,fund90,0.5,0.7902543660139102,0.2730020276239392,0.3454609545543893,-0.3246876425637648,22.29666658823553,0.6345750778634631,0.9354032588737693,1673,
funding,W,rank,5000000.0,fund90,21.0,0.7888942599416952,0.131162529871041,0.1662612298392624,-0.3224398263034315,29.544177608122194,0.2583639198380331,1.1971148921620278,1673,
funding,W,q20,50000000.0,fund63,7.0,0.7869703764955538,0.2691096142418227,0.3419564729236579,-0.787222940706553,68.83067886808968,0.12287803188086706,1.4152171892931764,1704,
beta+funding,W,rank,50000000.0,none,0.75,0.7834710661415193,0.24121243895345837,0.30787663945446564,-0.43168847907863794,46.769037069476866,1.1280897126601963,0.39564810938703127,2021,
beta+funding,W,q20,20000000.0,none,0.5,0.7808174248087861,0.3502856229694483,0.4486139932843193,-0.6188046052065866,47.58114083442626,0.7004372758053947,0.9051622747326626,2021,
beta+idvol,M,rank,50000000.0,fund90,0.25,0.7793934194556955,0.2076960786562169,0.26648426003040343,-0.3500335988595788,12.047011610749536,0.030907236915743083,1.4549531197513699,1673,
beta+idvol,M,rank,20000000.0,none,0.5,0.7782432958346355,0.21955922761006214,0.2821215791837865,-0.37827637812224824,14.983726997217255,0.2980948771474417,1.3491548657230379,2007,
beta+funding,W,rank,5000000.0,disp63,0.75,0.7782281197104819,0.23599165644389358,0.3032422633760493,-0.47887421191618457,50.180647556429804,0.30641376202132187,1.2056486458507778,1734,
beta_horizon,M,q20,20000000.0,disp63,1095.0,0.7767522160908371,0.3802721670527335,0.4895668904126597,-0.6398875876796336,21.097992141289215,0.003631667184036372,1.6483114483692414,1734,
beta+funding,M,rank,50000000.0,none,0.25,0.7713554565312613,0.2540068279276206,0.3292993207954655,-0.46226180151914614,18.764581313977967,0.40140138809968795,1.1568283240831803,2007,
beta_horizon,M,q20,50000000.0,none,60.0,0.7697204291854055,0.3863079146449874,0.5018808128216329,-0.6902745502023855,28.269759306898518,1.3056706267771656,0.17485826925187856,2007,
beta+idvol,W,q20,20000000.0,fund63,0.5,0.7689375373347778,0.24609886715627455,0.3200505310343936,-0.41844502360729285,21.355242301962676,0.7396296139932289,0.8005627251084096,1704,
beta+idvol,M,rank,5000000.0,fund63,0.25,0.7672308286174387,0.14992308985121705,0.19540806268353506,-0.2217373879220808,9.234708159571637,0.09792348540516851,1.3307410269078923,1704,
beta+idvol,W,q20,50000000.0,fund63,0.25,0.7672296941341953,0.28594837804026385,0.37270243869138997,-0.32435941651577477,23.940244508417734,0.26331227157399617,1.2226998756666385,1704,
beta+idvol,W,q20,20000000.0,fund63,0.25,0.767103134374484,0.2340467514744538,0.30510467365682403,-0.5050803815274512,22.43046113760156,0.27004711232614487,1.1892863715566315,1704,
beta+idvol,M,q20,5000000.0,fund63,0.75,0.7653684199126084,0.1947353955578063,0.2544335387917385,-0.3434370273826036,10.465362778156987,0.46687204154710255,1.0085041537711985,1704,
beta_horizon,M,q20,50000000.0,none,90.0,0.7649410322772213,0.3613200888796571,0.47235025137037173,-0.9136159553776675,24.2082054828224,1.0699702341218786,0.4510585759097734,2007,
beta+funding,W,rank,5000000.0,fund63,0.5,0.7645151120232377,0.13947527063638057,0.18243625069394462,-0.34399333893103073,24.67048752777326,-0.3080176707781879,1.6109374744991778,1704,
beta+idvol,W,rank,50000000.0,fund90,0.5,0.760443849390663,0.20646336051823896,0.2715037549237544,-0.25439705213373187,16.40740352302686,0.3044302399601011,1.186724408632057,1673,
beta+funding,M,rank,50000000.0,fund63,0.25,0.7603179061670134,0.20800947959894367,0.2735822448896156,-0.4550259042195236,14.235467029213773,-0.22763297045736658,1.5708864239758056,1704,
beta+funding,M,q20,5000000.0,none,0.75,0.7536068993259841,0.2415060806168741,0.32046691827380275,-0.5524231413371559,28.32010141341252,1.2698399359729564,0.18924950595742035,2007,
beta+funding,W,q20,20000000.0,none,0.75,0.7535588081164022,0.33095745116924236,0.4391925986460228,-0.4992962725528223,57.202007858221165,1.026650138277571,0.4138332102689059,2021,
funding,W,rank,5000000.0,disp63,7.0,0.7520152297592654,0.22119146069539353,0.29413162385847047,-0.44811879984043324,93.94155021827346,0.19185956959870734,1.3104954951260017,1734,
beta+funding,W,q20,20000000.0,fund90,0.5,0.7519086713480936,0.2262298237337065,0.3008740720174168,-0.38140128761218817,33.15327813939909,-0.09140910211984853,1.3514019574024576,1673,
beta_horizon,W,rank,20000000.0,none,1095.0,0.7495660213245872,0.3063359071834344,0.4086843566389206,-0.7185016751110055,17.337331121628203,0.5188912811169075,1.2476731324229204,2021,
funding,W,q20,5000000.0,fund63,7.0,0.7494498526377085,0.17117457699706254,0.22840030776523487,-0.323186284116475,68.4967194913325,-0.1150868306575136,1.4183693762643792,1704,
beta+idvol,W,rank,50000000.0,fund90,0.25,0.7450042643524938,0.20210554248458443,0.27128105455911794,-0.3249863377162932,17.1496474193035,0.16859790052807366,1.2933407866276168,1673,
beta+funding,W,q20,20000000.0,none,0.25,0.7434450708128547,0.33988169252533723,0.45717122336116023,-0.8635888456988234,36.04291170353757,0.5359799803983137,1.0711213105111184,2021,
beta+funding,M,rank,20000000.0,none,0.5,0.7427820428850085,0.20328980537286132,0.2736870220815677,-0.3613670884082637,21.986212313007158,0.6814046088707949,0.8103282637928289,2007,
beta+idvol,M,q20,20000000.0,fund90,0.25,0.7412730321616883,0.21941955671309266,0.29600369525547815,-0.4643854798610999,12.772669823475313,0.32927613804585154,1.1084304553710482,1673,
beta+funding,M,rank,50000000.0,fund63,0.5,0.7412530903658029,0.19211758197822415,0.2591794684908707,-0.3711854857795582,16.61926096311303,-0.15202776303470786,1.4457059427956729,1704,
beta+idvol,W,rank,5000000.0,fund63,0.75,0.739785368941998,0.15204460241956538,0.20552528990538368,-0.3263656391785452,12.759800718048673,0.6022704141178072,0.8592073775853997,1704,
beta_horizon,M,q20,50000000.0,fund63,1095.0,0.7396343602016716,0.2767947558168128,0.3742318782233708,-0.6874051778405242,13.858378972375705,0.24483129430558395,1.1429121123523855,1704,
beta+idvol,W,rank,50000000.0,fund63,0.75,0.7388571165914144,0.21534405330113612,0.2914556122766841,-0.3493284279111474,17.704338441542465,0.534397974188621,0.9207676237184271,1704,
beta+idvol,W,q20,50000000.0,disp63,0.5,0.7380163662507295,0.4173794163521174,0.5655422229624637,-0.755762823696243,42.0258394465768,0.6588604723191864,0.8451642986299145,1734,
beta+idvol,M,rank,20000000.0,none,0.25,0.7378847748766282,0.2083990160694373,0.2824275864809393,-0.4174737587435206,15.167288714634822,0.3010950692665878,1.235946982035225,2007,
beta+funding,M,rank,20000000.0,none,0.25,0.733018620532743,0.2118546670502584,0.2890167604423019,-0.4673094587423169,17.116771856056396,0.5116143134584094,0.9787973769358157,2007,
beta+idvol,M,rank,20000000.0,disp63,0.75,0.7303178239366601,0.28329189066614596,0.3879022000847615,-0.5833739141186538,19.878501375626715,0.5106131541403361,1.0124735798845548,1734,
