signal,market,corr_win,vol_win,agg,shrink,rebal,scheme,minvol,timing,sharpe,ann,vol,maxdd,turnover,sh_h1,sh_h2,n
beta,eqw_top100,730,180,3.0,0.4,M,q20,20000000.0,none,1.145805456758795,0.506806460791714,0.44231458124256645,-0.6515368319721025,19.274787315665687,0.9297832155560982,1.4050681920649948,2007
beta,eqw,730,180,3.0,0.4,W,q20,50000000.0,fund63,1.1455283344840779,0.4530929808717085,0.3955318844869709,-0.3405480233501823,24.342002889958614,0.40322687300077803,1.8166094927198817,1704
beta,eqw_top100,365,90,1.0,0.4,M,q20,20000000.0,fund63,1.1454744423901908,0.36707267800424187,0.32045470804070836,-0.3657344030265688,16.4058873607746,0.4512170695922334,1.7487286859101663,1704
beta,advw_top100,730,180,3.0,0.4,M,q20,5000000.0,fund90,1.1447705560090369,0.28943185004180805,0.25282957228638153,-0.3152517462252858,10.285716714440063,0.49395388911972377,1.644934805258127,1673
beta,btceth,730,180,3.0,0.4,M,rank,5000000.0,none,1.1445705310527678,0.3130768784401421,0.27353218517007966,-0.4245409933936748,10.526307883031599,0.7069771371787325,1.765169904272043,2007
beta,eqw,730,180,3.0,0.4,M,q20,5000000.0,fund63,1.1421755502333233,0.31094532021643234,0.27223951708028815,-0.3044193609734952,11.428811882197275,0.25964320912387057,1.8446245978953464,1704
beta,eqw_top100,730,180,3.0,0.8,W,q20,50000000.0,none,1.1414870353973996,0.5905450702537627,0.5173471550188646,-0.5209483768207148,36.21897306537017,0.8019803632295948,1.5489112024707474,2021
beta,eqw_top100,365,180,3.0,0.4,M,q20,50000000.0,fund90,1.140937049633702,0.487264200430702,0.4270736940194363,-0.4997476398038093,15.158482007723528,0.7299752317092393,1.4943103047188078,1673
beta,eqw_top100,730,180,3.0,0.4,M,q20,20000000.0,fund63,1.1402436785140615,0.3906116939870833,0.3425686117340454,-0.30522474921261417,14.79041627028582,0.8633303904619105,1.37882589775071,1704
beta,sqrt_advw,730,180,3.0,0.6,W,q20,50000000.0,fund90,1.1400701400932416,0.4181614413669053,0.36678571489707257,-0.3508687831445103,22.90847680079895,0.6454436486623534,1.5772114818180623,1673
beta,eqw,730,180,3.0,0.4,W,q20,20000000.0,fund63,1.13829006973977,0.38246352210702317,0.3359982945247515,-0.5622368201204977,22.791377583103138,0.6619093951308336,1.5210865825389448,1704
beta,btceth,730,180,3.0,0.6,M,q20,5000000.0,none,1.1365628708188222,0.44777203890209166,0.39397032086707173,-0.7296495833746162,14.215649382987014,0.8842960827805612,1.5529305380872527,2007
beta,advw_top100,730,180,3.0,0.6,M,q20,5000000.0,none,1.1362508654133792,0.42230239058865304,0.3716629869716449,-0.62901216020736,14.380914524980987,0.8829642984107722,1.4901168574997008,2007
beta,eqw_top25,730,180,3.0,0.6,W,q20,20000000.0,none,1.1353742761567505,0.6304193005275885,0.5552524077448381,-0.6817907260843752,30.842034037226444,1.0042460584422777,1.4394227059179634,2021
beta,btceth,730,180,3.0,0.4,M,q20,5000000.0,none,1.1346561361479854,0.436907242646322,0.3850569601902185,-0.6702591656416305,14.30320529805128,0.8328289434515329,1.5978857225381056,2007
beta,eqw_top100,730,180,3.0,0.6,M,rank,5000000.0,fund63,1.1330116659437404,0.24334477447113845,0.2147769363596488,-0.26000843990390965,9.857971961341711,0.34267562973513505,1.8123453688369513,1704
beta,eqw_top100,730,180,3.0,0.6,W,q20,50000000.0,none,1.1316589766670513,0.5561322558837553,0.4914309587519638,-0.48460130216399966,34.549207233230554,0.7546806846237002,1.5712608320824455,2021
beta,eqw_top25,365,90,1.0,0.4,M,q20,20000000.0,fund63,1.1312018847272913,0.3732815006206143,0.3299866325015932,-0.4264055239529698,17.02867655532153,0.5750609224217319,1.6063763595301461,1704
beta,eqw,730,180,3.0,0.4,W,q20,20000000.0,none,1.1309658934790328,0.6088931554368749,0.5383833048791786,-0.669731334732784,28.52439774695174,0.9703771557545815,1.4807616936894268,2021
beta,eqw_top100,730,180,3.0,0.6,M,rank,5000000.0,fund90,1.1300802691036558,0.22928571542235066,0.20289330031769592,-0.264203983496768,8.954997088551494,0.4792665792653844,1.7079500548034543,1673
beta,eqw,730,180,3.0,0.4,M,rank,5000000.0,fund90,1.1300742749153714,0.2127950251522471,0.1883018044704918,-0.23363330474720134,8.512082035859708,0.37115008987414533,1.7420558579424805,1673
beta,eqw_top100,365,90,1.0,0.4,M,q20,20000000.0,fund90,1.129488567890866,0.3515166401608872,0.3112175281395603,-0.30538736977090974,15.356864522593245,0.22780762480137817,1.9177800360946975,1673
beta,sqrt_advw,730,180,3.0,0.4,W,q20,50000000.0,fund90,1.128790178290863,0.4322441871925387,0.3829269562276076,-0.3443829850186977,22.571568523411834,0.5069038845973662,1.6662484148315926,1673
